,namespace,all_namespaces
0,AMONTOLOGY,"http://creativecommons.org/publicdomain/zero/1.0/, https://raw.githubusercontent.com/BFO-ontology/BFO/v2.0/"
1,BWMD-DOMAIN,"https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/, https://www.materials.fraunhofer.de/ontologies/BWMD_ontology/, https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/"
2,BWMD-MID,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/
3,CHAMEO,"http://emmo.info/emmo/1.0.0-beta4/perspectives/, http://purl.org/spar/datacite/, http://emmo.info/emmo/1.0.0-beta4/multiperspective/, http://emmo.info/emmo/1.0.0-beta4/disciplines/, http://emmo.info/emmo/domain/chameo/chameo/, http://purl.org/ontology/bibo/, http://emmo.info/emmo/domain/chameo/"
4,CIF-core,"http://emmo.info/emmo/cif-ddl#, https://raw.githubusercontent.com/emmo-repo/CIF-ontology/381ecc19b79e2b00fd3d136a5d68218728fa790f/ontology/, http://emmo.info/emmo/cif-ddl#_type:, http://emmo.info/emmo/"
5,DEB,http://www.semanticweb.org/osnathakimi/ontologies/
6,DISO,"https://purls.helmholtz-metadaten.de/cso#, http://qudt.org/schema/, https://w3id.org/mdo/structure/, https://purls.helmholtz-metadaten.de/cdo#, http://qudt.org/2.0/schema/, http://creativecommons.org/licenses/by/3.0/"
7,EMMO,"http://emmo.info/emmo/1.0.0-beta/, http://emmo.info/, http://emmo.info/emmo/"
8,EMMO_BVC,"https://big-map.github.io/BattINFO/ontology/electrochemistry#, https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/, https://big-map.github.io/BattINFO/ontology/BattINFO#"
9,EMMO_BattINFO,"https://big-map.github.io/BattINFO/ontology/BattINFO/0.3.0/battery/, https://big-map.github.io/BattINFO/ontology/BattINFO/0.3.0/, https://big-map.github.io/BattINFO/ontology/"
10,EMMO_Datamodel,
11,EMMO_atomistic,"http://emmo.info/, http://emmo.info/0.0.1/, https://raw.githubusercontent.com/emmo-repo/emmo-repo.github.io/master/versions/1.0.0-beta/"
12,EMMO_crystallography,"https://raw.githubusercontent.com/emmo-repo/CIF-ontology/gh-pages/versions/0.1.0/, http://emmo.info/domain-crystallography/0.0.1/, https://raw.githubusercontent.com/emmo-repo/emmo-repo.github.io/master/versions/1.0.0-beta/, http://emmo.info/domain-crystallography/, http://emmo.info/domain-crystallography/cif_top#"
13,EMMO_mappings,"http://emmo.info/emmo#, http://emmo.info/domain-mappings/, http://emmo.info/, https://emmo-repo.github.io/versions/1.0.0-beta/"
14,EMMO_mechanical_testing,"http://emmo.info/emmo/top/physical#, http://emmo.info/emmo/middle/manufacturing#, http://emmo.info/emmo/domain/, http://emmo.info/emmo/middle/units-extension#, http://emmo.info/emmo/domain/mechanical-testing/, http://emmo.info/emmo/middle/math#, http://emmo.info/emmo/middle/properties#, http://emmo.info/emmo/middle/perceptual#, http://emmo.info/emmo/top/mereotopology#, http://emmo.info/emmo/middle/metrology#, http://emmo.info/emmo/middle/materials#, http://emmo.info/emmo/middle/semiotics#, http://emmo.info/emmo/middle/holistic#, http://emmo.info/emmo/middle/siunits#, https://raw.githubusercontent.com/emmo-repo/EMMO/master/middle/, http://emmo.info/emmo/, http://emmo.info/emmo/middle/models#, http://emmo.info/emmo/middle/reductionistic#"
15,EMMO_microstructure,"http://emmo.info/domains/emmo-material.owl#, http://emmo.info/domains/emmo-models.owl#, http://www.semanticweb.org/jesperf/ontologies/2019/11/, http://emmo.info/domains/emmo-properties.owl#, http://www.semanticweb.org/friisj/ontologies/2019/11/untitled-ontology-48#, http://emmo.info/base/emmo-mereotopology.owl#, http://emmo.info/perspectives/emmo-existent.owl#, https://raw.githubusercontent.com/emmo-repo/EMMO/4e32917bfddee2afb29bc4bc53dafb6ea1c3df79/middle/"
16,GPO,https://raw.githubusercontent.com/emmo-repo/EMMO/1.0.0-beta3/
17,LPBFO,"https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/, https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/, https://www.emi.fraunhofer.de/ontologies/"
18,MAMBO,"file:///home/fabio/Projects/MAMBO/mambo.owl#, file:///home/fabio/Projects/MAMBO/"
19,MDO,
20,MOL_BRINELL,
21,MOL_TENSILE,
22,MSEO,"http://www.w3.org/ns/oa#, https://raw.githubusercontent.com/CommonCoreOntology/CommonCoreOntologies/master/, https://www.w3.org/ns/csvw#, https://purl.matolab.org/mseo/, http://www.daml.org/2003/01/periodictable/"
23,MatOnto,"http://ontology.dumontierlab.com/, http://www.ifomis.org/bfo/1.0/span#, http://www.ifomis.org/bfo/1.0/snap#, http://www.daml.org/2003/01/periodictable/, http://matonto.org/ontologies/, http://www.ifomis.org/bfo/1.0#"
24,NPO,http://purl.bioontology.org/ontology/
25,NanoMine,"http://www.nanopub.org/nschema#, http://semanticscience.org/ontology/, https://tw.rpi.edu/instances/, file:///apps/satoru/, https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/, https://raw.githubusercontent.com/MaastrichtU-IDS/semanticscience/a691e98d8423457e69353ec6d5c120df20eded7a/ontology/sio/release/"
26,OEO,"http://creativecommons.org/publicdomain/zero/1.0/, https://raw.githubusercontent.com/BFO-ontology/BFO/v2.0/"
27,PMDCO,"http://www.w3.org/2003/11/swrl#, https://orcid.org/, http://qudt.org/schema/, http://w3id.org/DMI/, http://purl.obolibrary.org/obo/, http://purl.org/spar/datacite/, http://www.w3.org/ns/oa#, http://swrl.stanford.edu/ontologies/3.3/swrla.owl#, http://www.w3.org/2003/11/swrlb#, http://creativecommons.org/licenses/by/4.0/, http://qudt.org/schema/qudt/, https://w3id.org/pmd/, http://purl.org/spar/, http://qudt.org/vocab/unit/"
28,SAREF,"http://www.garcia-castro.com/foaf.rdf#, https://www.linkedin.com/in/, https://forge.etsi.org/, https://saref.etsi.org/sources/saref-core/, https://www.etsi.org/deliver/etsi_ts/103200_103299/103264/03.01.01_60/, https://www.etsi.org/, https://w3id.org/people/mpoveda/, http://maxime-lefrancois.info/me#"
29,SEMMD,"http://dbpedia.org/resource/, http://dbpedia.org/c/, https://en.wikipedia.org/wiki/, http://purl.obolibrary.org/obo/iao/, http://purl.obolibrary.org/obo/bfo/axiom/, https://en.wikipedia.org/wiki/Extract,_transform,, http://dbpedia.org/resource/Category:, http://qudtlt.org/1.1/vocab/, https://en.wikipedia.org/wiki/J-integral#, https://groups.google.com/d/msg/bfo-owl-devel/s9Uug5QmAws/, http://purl.obolibrary.org/obo/iao/2017-03-24/, http://www.afgrow.net/applications/DTDHandbook/Sections/, http://w3id.org/semmd/v0.7/schma/, http://qudt.org/catalog/qudt#, https://en.wikipedia.org/wiki/Viscosity#, https://www.efatigue.com/glossary/, voag:, http://example.com/, http://purl.obolibrary.org/obo/iao/2017-03-24/ro/, https://en.wikipedia.org/wiki/Thermal_expansion#, http://www.scholarpedia.org/article/, https://en.wikipedia.org/wiki/Magnetic_field#, http://www.totalmateria.com/page.aspx?ID=CheckArticle&site=kts&NM=, https://github.com/information-artifact-ontology/IAO/issues/, http://www.translatorscafe.com/cafe/EN/units-converter/electric-conductance/5-1/microsiemens-siemens/, http://www.linkedmodel.org/explore/1.0/schema/, https://en.wikipedia.org/wiki/Compressibility#, http://www.asminternational.org/home/-/journal_content/56/10192/06483G/PUBLICATION/, https://en.wikipedia.org/wiki/Fatigue_(material)#, http://qudtlt.org/1.1/, http://www.referent-tracking.com/_RTU/papers/, dtype:, http://purl.obolibrary.org/obo/bfo/2.0/, https://en.wikipedia.org/wiki/Magnetic_core#, https://www.nde-ed.org/EducationResources/CommunityCollege/Materials/Mechanical/, https://en.wikipedia.org/wiki/Magnetic_susceptibility#, https://en.wiktionary.org/wiki/, https://github.com/information-artifact-ontology/, https://www.efatigue.com/constantamplitude/strainlife/#, https://www.kjmagnetics.com/glossary.asp#, http://www.uni-konstanz.de/FuF/Physik/Jaeckle/papers/thermopower/, https://www.wolframalpha.com/input/?i=modulus+of+, https://www.wolframalpha.com/input/?i=specific+acoustic+impedance&lk=1&rawformassumption=%22ClashPrefs%22+-%3E+%, http://qudt.org/explore/1.1/schema/, http://www.allaboutcircuits.com/textbook/direct-current/chpt-12/temperature-coefficient-resistance/, https://www.britannica.com/science/sound-physics/Impedance#, https://en.wikipedia.org/wiki/Magnet#, http://qudt.org/schema/qudt#, http://www.linkedmodel.org/explore/1.2/schema/, http://matvocab.org/wiki-dev/index.php/, https://www.nde-ed.org/EducationResources/CommunityCollege/Ultrasonics/Physics/, http://dbpedia.org/resource/%, http://support.grantadesign.com/resources/selector/14/en/indepth/html/indepth/materialinfo/, http://qudtlt.org/1.1/schema/qudt/, https://en.wikibooks.org/wiki/Strength_of_Materials/, https://en.wikipedia.org/wiki/Remanence#, http://www.linkedmodel.org/schema/, https://en.wiktionary.org/wiki/ultimate_tensile_strength#, http://www.topquadrant.com/, http://www.instron.us/en-us/our-company/library/glossary/t/, http://dbpedia.org/page/, https://www.wolframalpha.com/input/?i=electric+weight+"
30,SP,"http://semanticscience.org/resource/, http://purl.bioontology.org/ontology/NCBITAXON/, http://prismstandard.org/namespaces/basic/2.0/prism:, http://www.ebi.ac.uk/efo/, http://purl.org/net/OCRe/OCRe.owl#, http://purl.bioontology.org/ontology/CSP/, http://purl.org/spar/biro/, http://purl.bioontology.org/ontology/SNOMEDCT/"
31,SSN,"http://www.opengeospatial.org/ogc/, http://www.w3.org/Consortium/Legal/2015/"
32,bmo,"https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/, https://creativecommons.org/licenses/by/4.0/, https://w3id.org/, https://w3id.org/digitalconstruction/Entities#, http://qudt.org/schema/qudt/, https://w3id.org/digitalconstruction/"
33,enanomapper,"http://enanomapper.github.io/ontologies/internal/, http://enanomapper.github.io/ontologies//, http://enanomapper.github.io/ontologies/, http://enanomapper.github.io/ontologies/releases/9.0/"
34,mat,"https://saref.etsi.org/core/, http://bimerr.iot.linkeddata.es/def/building#"
35,matinfo,"https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/matinfo/, https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/matinfo/OML-Property.owl#"
36,metal-alloy,"http://emmc.info/emmo-material#, http://home.agh.edu.pl/~pmaciol/metal-alloy/, http://emmc.info/emmo-direct#, http://emmc.info/, http://home.agh.edu.pl/~pmaciol/"
37,mvc,https://aksw.org/
38,mwo,
39,periodictable,http://www.daml.org/2003/01/periodictable/
40,ssos,
41,vimmp,"http://qudt.org/schema/, https://purl.vimmp.eu/semantics/combined/, http://qudt.org/2.0/schema/"
